Reference;Advisliste;Afsender;Posteringstype;match_regel;Beløb1;Beløb2;beløb_regel;Posteringstekst;Artskonto;PSP-element;SIO;Notat
6687210;null;null;null;Indeholder;-333,00;null;Lig med;Tekst fra bank;40000000;XG-0000000006-00007;null;SKAL STÅ FØR DEN GENERELLE REGEL
8152290;null;null;null;Indeholder;-333,00;null;Lig med;Tekst fra bank;40000000;XG-0000000006-00007;null;SKAL STÅ FØR DEN GENERELLE REGEL
1992317;null;null;DK-abonnement;Indeholder;null;null;null;Tekst fra bank;95941202;null;null;SKAL STÅ FØR DEN GENERELLE REGEL
Dep;null;null;null;Starter med;30000,00;null;Lig med;Tekst fra bank;95950000;null;null;Salg af grunde. Kommer ikke altid med tekst dep, jævnligt kun adressen. Betina Bak.
9913008388;null;null;Rente af obligationer;Indeholder;null;null;null;Tekst fra bank;94600005;null;null;Randers Kommunes kunstfond
9913008388;null;null;Udtrukne obligationer;Indeholder;null;null;null;Tekst fra bank;94200011;null;null;Randers Kommunes kunstfond
null;null;Danica Pension;null;Starter med;1251,70;null;Lig med;Tekst fra bank;95914002;null;null;Posteringstekst inkl. CPR. CPR er ikke med i banken?
null;null;Danica Pension;null;Starter med;1714,30;null;Lig med;Tekst fra bank;95914002;null;null;Posteringstekst inkl. CPR. CPR er ikke med i banken?
null;null;PFA Pension;null;Starter med;null;null;null;Advis fra bank;95914002;null;null;Posteringstekst inkl. CPR
null;null;Sampension;null;Starter med;null;null;null;Tekst fra bank;95914002;null;null;Posteringstekst inkl. CPR
Regres;null;Forsikring;null;Indeholder;null;null;null;Tekst fra bank;79000000;XG-0000003333-00003;null;Pia Fonnesbæk vedr. spørgsmål.
0019;null;null;Overførsel;Starter med;null;null;null;Tekst fra bank;90520001;null;null;OBS-konto
Afdrag indskudslån;null;Udbetaling Danmark;null;Indeholder;null;null;null;UDK - afdrag indskudslån;95990009;null;null;Modposteres af BTK
NKS-KY;null;null;Cap;Indeholder;null;null;null;Tekst fra bank;95931701;null;null;KY
KP-;null;Kommune;Overførsel;Indeholder;null;null;null;Afsender fra bank;95931700;null;null;KP
KP-;null;Kommune;Cap;Indeholder;null;null;null;Afsender fra bank;95931700;null;null;KP
Mellemkommunal afreg;null;null;Cap;Starter med;null;null;null;Tekst fra bank;90540000;null;null;KMD Udbetaling 339
Indfasningsstøtte;null;null;Cap;Starter med;null;null;null;Tekst fra bank;90540000;null;null;KMD Udbetaling 210
Rekvireret udb;null;null;Cap;Starter med;null;null;null;Tekst fra bank;90540000;null;null;KMD Udbetaling 104
Foreningstilskud;null;null;Cap;Starter med;null;null;null;Tekst fra bank;90540000;null;null;KMD Udbetaling 102
Leverandørudbetaling;null;null;Cap;Starter med;null;null;null;Tekst fra bank;90540000;null;null;KMD Udbetaling 091
KMF Begravelse;null;null;Cap;Starter med;null;null;null;Tekst fra bank;90540000;null;null;KMD Udbetaling 057
Sygedagpenge lønref;null;null;Cap;Starter med;null;null;null;Tekst fra bank;90540000;null;null;KMD Udbetaling 047
Sygedagpenge;null;null;Cap;Starter med;null;null;null;Tekst fra bank;90540000;null;null;KMD Udbetaling 045
Boliglån;null;null;Cap;Starter med;null;null;null;Tekst fra bank;90540000;null;null;KMD Udbetaling 042
Social pension;null;null;Cap;Starter med;null;null;null;Tekst fra bank;90540000;null;null;KMD Udbetaling 039
Tilskud til børnepas;null;null;Cap;Starter med;null;null;null;Tekst fra bank;90540000;null;null;KMD Udbetaling 030
E-penge;null;MSS;null;Starter med;null;null;null;E-penge;72000000;XG-0000005228-00003;null;Kantinen
141360;null;Børne- og undervisning;null;Indeholder;null;null;null;Advis fra bank;86000000;XG-0000002066-00003;null;Kan gælde forskellige P-numre. P-nummer måske kun i advis.
null;null;null;Overførsel;Starter med;6597,00;null;Lig med;Advis fra bank;79000000;XG-0000003025-00001;null;Huslejenævnet
null;null;null;Overførsel;Starter med;4398,00;null;Lig med;Advis fra bank;79000000;XG-0000003025-00001;null;Huslejenævnet
null;null;null;Overførsel;Starter med;345,00;null;Lig med;Tekst fra bank;79000000;XG-0000003025-00001;null;Huslejenævnet
null;null;null;Bgs;Starter med;345,00;null;Lig med;Tekst fra bank;79000000;XG-0000003025-00001;null;Huslejenævnet
null;SENR;null;Overførsel;Starter med;161,00;null;Lig med;Advis fra bank;79000000;XG-0000003025-00001;null;Huslejenævnet
null;null;null;Info-overførsel;Starter med;null;null;null;Tekst fra bank;95912001;null;null;Elsebeth Morgensen vedr. spørgsmål
Løn;null;Randers Kunstmuseum;null;Indeholder;null;null;null;Tekst fra bank;95911000;null;null;Elsebeth Morgensen vedr. spørgsmål
null;KSD-;null;null;Indeholder;null;null;null;null;95914005;null;null;Dagpenge - Poster fra Hjørnesten og Randers Kunstmuseum skal tages manuelt
E-lån;null;null;null;Starter med;null;null;null;Tekst fra bank;92500201;null;null;CPR ell. ejendomsnr. skal med i posteringstekst
Elån;null;null;null;Starter med;null;null;null;Tekst fra bank;92500201;null;null;CPR ell. ejendomsnr. skal med i posteringstekst
030000000;null;MobilePay;null;Starter med;null;null;null;Tekst fra bank;90540000;null;null;91407041 efter bankfil mandag
040000000;null;MobilePay;null;Starter med;null;null;null;Tekst fra bank;90540000;null;null;91407041 efter bankfil mandag
NKS-KP;null;null;null;Indeholder;null;null;null;Tekst fra bank;95931700;null;null;null
null;TBK 730;Udbetaling Danmark for bolig;null;Indeholder;null;null;null;null;95990026;null;null;null
null;null;Svend Aage Sølvsten;null;Indeholder;null;null;null;Aktivitetsudvalget Korshøjscentret kageforplejning;79000000;XG-0000004526-00031;null;null
006981;null;null;Pengeautomat;Indeholder;null;null;null;Depositcard Regnskab 006981;95990009;null;null;null
6687210;null;null;null;Indeholder;null;null;null;DK6687210 Trådløs Dankortterminal - Udlån fra Regnskab;79000000;XG-0000003397-00016;null;Gældende indtil 01.05.2023 - Derefter 95990009
8152290;null;null;null;Indeholder;null;null;null;DK8152290 Trådløs Dankortterminal - Udlån fra Regnskab;79000000;XG-0000003397-00016;null;Gældende indtil 01.05.2023 - Derefter 95990009
7893415;null;null;null;Indeholder;null;null;null;Teller 7893415 - internationalekort Kommunikation;95990009;null;null;null
null;Løn;Verdo;null;Starter med;null;null;null;null;95990001;null;null;null
011888;null;null;Pengeautomat;Indeholder;null;null;null;Depositcard Museum Østjylland 011888;95941300;null;null;null
2471043;null;null;null;Indeholder;null;null;null;DK2471043 Museum Østjylland;95941300;null;null;null
5247969;null;null;null;Indeholder;null;null;null;DK5247969 Museum Østjylland;95941300;null;null;null
9475369104;null;null;null;Indeholder;null;null;null;Nets nr. 9475369104;95941300;null;null;null
7864309;null;null;null;Indeholder;null;null;null;Teller 7864309;95941300;null;null;null
7978497;null;null;null;Indeholder;null;null;null;Teller 7978497;95941300;null;null;null
MOE;null;null;Indbetaling;Starter med;null;null;null;Kontant transaktion MOE;95941300;null;null;null
012195;null;null;Pengeautomat;Indeholder;null;null;null;Depositcard Randers Bibliotek 012195;95941202;null;null;null
012193;null;null;Pengeautomat;Indeholder;null;null;null;Depositcard Ladegården (Back up) 012193;90540005;null;null;Back up pga. manglende fornyelse af eksisterende kort.
1992317;null;null;null;Indeholder;null;null;null;DK1992317 Biblioteket;95941202;null;null;null
Bibliotek;null;null;Indbetaling;Indeholder;null;null;null;Kontant transaktion Randers Bibliotek;95941202;null;null;null
8674335;null;null;null;Indeholder;null;null;null;Nets 8674335 internationale kortbetalinger;95941202;null;null;null
4521609;null;null;null;Indeholder;null;null;null;DK4521609;95941200;null;null;null
null;null;Værket;null;Starter med;500000,00;null;Større end;Tekst fra bank;95941110;null;null;null
Kommunalt træk;null;Udbetaling Danmark;null;Indeholder;null;null;null;Tekst fra bank;95932008;null;null;null
null;Kundenr: 33485468;null;null;Indeholder;null;null;null;Tekst fra bank;95931505;null;null;null
null;Kundenr: 29759456;null;null;Indeholder;null;null;null;Tekst fra bank;95931502;null;null;null
null;null;#Hjørnestenen;null;Indeholder;null;null;null;null;95931400;null;null;Gælder kun overførsel af driftsresultat, sygeref. skal til 95914005
6256651;null;null;null;Indeholder;null;null;null;DK6256651;95931206;null;null;null
7810906;null;null;null;Indeholder;null;null;null;Teller 7810906 - Borgerservice Pas, billeder og fingeraftryk;95931206;null;null;null
4430778;null;null;Dankort-salg;Indeholder;null;null;null;DK4430778 Borgerservice;95931205;null;null;null
4430778;null;null;DK-abonnement;Indeholder;null;null;null;DK4430778 Abonnement;40000000;XG-0000003020-00258;null;null
4430778;null;null;Dankortsalg-gebyr;Indeholder;null;null;null;DK4430778 Gebyrer;40000000;XG-0000003020-00258;null;null
7620659;null;null;null;Indeholder;null;null;null;Teller 7620659;95931205;null;null;null
7673000;null;null;null;Indeholder;null;null;null;Teller 7673000;95931202;null;null;null
null;Kundenr: 29759464;null;null;Indeholder;null;null;null;Tekst fra bank;95931011;null;null;null
5386888 050607;null;null;null;Indeholder;null;null;null;Tekst fra bank;95930007;null;null;null
Bidrag;null;Udbetaling Danmark;null;Indeholder;null;null;null;Udbetaling Danmark Bidrag;95920000;null;null;null
null;BDP-;null;null;Indeholder;null;null;null;null;95914006;null;null;null
31 kapital;null;null;null;Indeholder;null;null;null;Tekst fra bank;95912000;null;null;null
30 kapital;null;null;null;Slutter med;null;null;null;Tekst fra bank;95912000;null;null;null
tj;null;Vandmiljø Randers;null;Starter med;null;null;null;Tekst fra bank;95911002;null;null;null
null;null;Randers Havn;null;Starter med;null;null;null;Tekst fra bank;95911001;null;null;null
AI-;null;null;Cap;Starter med;null;null;null;Tekst fra bank;95910014;null;null;null
AN-;null;null;Cap;Starter med;null;null;null;Tekst fra bank;95910014;null;null;null
BQ-;null;null;Cap;Starter med;null;null;null;Tekst fra bank;95910014;null;null;null
BW-;null;null;Cap;Starter med;null;null;null;Tekst fra bank;95910014;null;null;null
BX-;null;null;Cap;Starter med;null;null;null;Tekst fra bank;95910014;null;null;null
BZ;null;null;Cap;Starter med;null;null;null;Tekst fra bank;95910014;null;null;null
CP-;null;null;Cap;Starter med;null;null;null;Tekst fra bank;95910014;null;null;null
CQ-;null;null;Cap;Starter med;null;null;null;Tekst fra bank;95910014;null;null;null
CU-;null;null;Cap;Starter med;null;null;null;Tekst fra bank;95910014;null;null;null
CV-;null;null;Cap;Starter med;null;null;null;Tekst fra bank;95910014;null;null;null
CY-;null;null;Cap;Starter med;null;null;null;Tekst fra bank;95910014;null;null;null
CZ-;null;null;Cap;Starter med;null;null;null;Tekst fra bank;95910014;null;null;null
OB-;null;null;Cap;Starter med;null;null;null;Tekst fra bank;95910014;null;null;null
OG-;null;null;Cap;Starter med;null;null;null;Tekst fra bank;95910014;null;null;null
OI-;null;null;Cap;Starter med;null;null;null;Tekst fra bank;95910014;null;null;null
OK-;null;null;Cap;Starter med;null;null;null;Tekst fra bank;95910014;null;null;null
OQ-;null;null;Cap;Starter med;null;null;null;Tekst fra bank;95910014;null;null;null
OR-;null;null;Cap;Starter med;null;null;null;Tekst fra bank;95910014;null;null;null
OT-;null;null;Cap;Starter med;null;null;null;Tekst fra bank;95910014;null;null;null
OU-;null;null;Cap;Starter med;null;null;null;Tekst fra bank;95910014;null;null;null
OV-;null;null;Cap;Starter med;null;null;null;Tekst fra bank;95910014;null;null;null
OW-;null;null;Cap;Starter med;null;null;null;Tekst fra bank;95910014;null;null;null
OX-;null;null;Cap;Starter med;null;null;null;Tekst fra bank;95910014;null;null;null
OY-;null;null;Cap;Starter med;null;null;null;Tekst fra bank;95910014;null;null;null
OZ-;null;null;Cap;Starter med;null;null;null;Tekst fra bank;95910014;null;null;null
RG-;null;null;Cap;Starter med;null;null;null;Tekst fra bank;95910014;null;null;null
RI-;null;null;Cap;Starter med;null;null;null;Tekst fra bank;95910014;null;null;null
RJ-;null;null;Cap;Starter med;null;null;null;Tekst fra bank;95910014;null;null;null
RM-;null;null;Cap;Starter med;null;null;null;Tekst fra bank;95910014;null;null;null
RO-;null;null;Cap;Starter med;null;null;null;Tekst fra bank;95910014;null;null;null
RQ-;null;null;Cap;Starter med;null;null;null;Tekst fra bank;95910014;null;null;null
RR-;null;null;Cap;Starter med;null;null;null;Tekst fra bank;95910014;null;null;null
RS-;null;null;Cap;Starter med;null;null;null;Tekst fra bank;95910014;null;null;null
RU-;null;null;Cap;Starter med;null;null;null;Tekst fra bank;95910014;null;null;null
RV-;null;null;Cap;Starter med;null;null;null;Tekst fra bank;95910014;null;null;null
RW-;null;null;Cap;Starter med;null;null;null;Tekst fra bank;95910014;null;null;null
RY-;null;null;Cap;Starter med;null;null;null;Tekst fra bank;95910014;null;null;null
RZ-;null;null;Cap;Starter med;null;null;null;Tekst fra bank;95910014;null;null;null
null;Kundenr: 34199620;null;null;Indeholder;null;null;null;Retur fra skat vedr. RW;95910006;null;null;null
Skattekontoen, kredi;null;null;null;Starter med;null;null;null;Skattekontoen, kreditering;95910006;null;null;null
null;null;null;Fonds;Starter med;null;null;null;Tekst fra bank;95000100;null;null;null
5386888 050016;null;null;null;Indeholder;null;null;null;Tekst fra bank;94700003;null;null;null
7131666;null;null;null;Indeholder;null;null;null;DK7131666 - Mit Betalingsoverblik;91407040;null;null;null
8499089;null;null;null;Indeholder;null;null;null;DK8499089 - Mit Betalingsoverblik;91407040;null;null;null
8871930;null;null;null;Indeholder;null;null;null;Tekst fra bank;91407032;null;null;null
BSR08871930;null;null;null;Indeholder;null;null;null;Tekst fra bank;91407032;null;null;null
K 86446707;null;null;null;Indeholder;null;null;null;K 86446707;91407030;null;null;null
- SKAT;null;null;null;Slutter med;null;null;null;Tekst fra bank;91407020;null;null;null
null;Indskudslån;Lejerbo;null;Indeholder;1100,00;null;Mindre end;Indskudslån Lejerbo;91407008;null;null;null
Indskudslån;null;null;null;Indeholder;1100,00;null;Mindre end;Afsender fra bank;91407008;null;null;null
209082;null;null;null;Indeholder;null;null;null;Tekst fra bank;91407007;null;null;null
BSR00209082;null;null;null;Indeholder;null;null;null;Tekst fra bank;91407007;null;null;null
8871973;null;null;null;Indeholder;null;null;null;Tekst fra bank;91407006;null;null;null
BSR08871973;null;null;null;Indeholder;null;null;null;Tekst fra bank;91407006;null;null;null
K 86136228;null;null;null;Indeholder;null;null;null;K 86136228;91407005;null;null;null
K 89182816;null;null;null;Indeholder;null;null;null;K 89182816;91407004;null;null;null
K 84788767;null;null;null;Indeholder;null;null;null;K 84788767;91407003;null;null;null
null;null;null;Udtrukne obligationer;Starter med;null;null;null;Tekst fra bank;90800100;null;null;null
Betalingsservice;null;null;null;Starter med;null;null;null;Betalingsservice månedsoverførsel;90540015;null;null;null
56685;null;null;null;Indeholder;null;null;null;Ls, kreditor 56685Udbetaling Loomis;90100036;null;null;null
006992;null;null;Pengeautomat;Indeholder;null;null;null;Depositcard ACR 006992;90100035;null;null;null
90100035;null;null;null;Indeholder;null;null;null;Kontant transaktion ACR;90100035;null;null;null
ACR;null;null;null;Slutter med;null;null;null;Kontant transaktion ACR;90100035;null;null;null
DAC;null;null;null;Starter med;null;null;null;Kontant transaktion ACR;90100035;null;null;null
006983;null;null;Pengeautomat;Indeholder;null;null;null;Depositcard CBR 006983;90100011;null;null;null
CBR;null;null;Indbetaling;Indeholder;null;null;null;Kontant transaktion CBR;90100011;null;null;null
90100011;null;null;null;Indeholder;null;null;null;Kontant transaktion CBR;90100011;null;null;null
null;mønter Bib;null;null;Starter med;null;null;null;Tekst fra bank;90100002;null;null;null
012180;null;null;Pengeautomat;Indeholder;null;null;null;Depositcard Borgerservice 012180;90100001;null;null;null
udbetaling af mønt;null;null;null;Indeholder;null;null;null;Tekst fra bank;90100001;null;null;null
mønt borgerservice;null;null;null;Indeholder;null;null;null;Mønt Borgerservice;90100001;null;null;null
141442;null;Børne- og undervisning;null;Indeholder;null;null;null;Advis fra bank;86000000;XG-0000002067-00003;null;null
141296;null;Børne- og undervisning;null;Indeholder;null;null;null;Advis fra bank;86000000;XG-0000002068-00003;null;null
141855;null;Børne- og undervisning;null;Indeholder;null;null;null;Advis fra bank;86000000;XG-0000000034-00003;null;null
143498;null;Børne- og undervisning;null;Indeholder;null;null;null;Advis fra bank;86000000;XG-0000002069-00003;null;null
142731;null;Børne- og undervisning;null;Indeholder;null;null;null;Advis fra bank;86000000;XG-0000002806-00014;null;null
RG20938;null;null;null;Starter med;null;null;null;Tekst fra bank;95910014;null;null;null
null;3135-0006;Socialstyrelse;null;Indeholder;null;null;null;Tilskud, Socialstyrelsen;86000000;XG-0000004599-00002;null;null
null;7195-0011;Socialstyrelse;null;Indeholder;null;null;null;Tilskud, Socialstyrelsen;86000000;XG-0000003913-00090;null;null
null;7225-0013;Socialstyrelse;null;Indeholder;null;null;null;Tilskud, Socialstyrelsen;86000000;XG-0000002810-00001;null;null
null;6105-0135;Socialstyrelse;null;Indeholder;null;null;null;Tilskud, Socialstyrelsen;86000000;XG-0000003912-00004;null;null
null;2367-0075;Socialstyrelse;null;Indeholder;null;null;null;Tilskud, Socialstyrelsen;86000000;XG-0000004507-00131;null;null
null;2955-0014;Socialstyrelse;null;Indeholder;null;null;null;Tilskud, Socialstyrelsen;86000000;XG-0000004178-00007;null;null
null;KUREG;Slots- og kulturstyrelse;null;Indeholder;null;null;null;Tekst fra bank;86000000;XG-0000004083-00002;null;null
null;MUSIKSKOLE;Slots- og kulturstyrelse;null;Indeholder;null;null;null;Tilskud, Musikskole;86000000;XG-0000004089-00005;null;null
null;Østjysk vækstbånd;Slots- og kulturstyrelse;null;Indeholder;null;null;null;Østjysk Vækstbånd;86000000;XG-0000004187-00001;null;null
null;null;Bolig- og planstyrelse;null;Starter med;200000,00;null;Lig med;Tilskud, Bolig- og Planstyrelsen;86000000;XG-0000000019-00002;null;null
null;Flere skal med;Styrelsen for arbejdsmarked;null;Indeholder;null;null;null;Tilskud, Flere skal med;86000000;XG-0000003906-00009;null;null
5386888 051672;null;null;null;Indeholder;null;null;null;DK 5386888 051672 Sprogcentret online-adgang til UV-programm;79000000;XG-0000003397-00044;null;null
4517148;null;null;null;Indeholder;null;null;null;DK4517148;79000000;XG-0000003057-00001;null;null
4862821;null;null;null;Indeholder;null;null;null;DK4862821;79000000;XG-0000005094-00001;null;null
4862899;null;null;null;Indeholder;null;null;null;DK4862899 Udbyhøj Færge;79000000;XG-0000005094-00001;null;null
4922735;null;null;null;Indeholder;null;null;null;DK4922735;79000000;XG-0000005096-00001;null;null
5386888 003031;null;null;null;Indeholder;null;null;null;DK5386888 - P-licens;79000000;XG-0000005096-00009;null;null
5386888 030031;null;null;null;Indeholder;null;null;null;DK5386888 - P-Licens;79000000;XG-0000005096-00009;null;null
5386888 120031;null;null;null;Indeholder;null;null;null;DK5386888 - P-Licens;79000000;XG-0000005096-00009;null;null
5386888 005070;null;null;null;Indeholder;null;null;null;DK5386888 005070 Sprogcentret - medborgerskabsprøve;79000000;XG-0000003397-00053;null;null
5386888 013583;null;null;null;Indeholder;null;null;null;DK5386888 013583 Assentoftskolen 9. klasserne lejrskole;79000000;XG-0000002369-00020;null;null
5386888 015106;null;null;null;Indeholder;null;null;null;DK5386888 015106 - Assentoft - Djurs sommerland 7-8. årgang;79000000;XG-0000002369-00029;null;null
5386888 015538;null;null;null;Indeholder;null;null;null;DK5386888 015538 Valgfaget adventure på Assentoftskolen;79000000;XG-0000002369-00020;null;null
5386888 015681;null;null;null;Indeholder;null;null;null;DK5386888 015681 - Betaling lejrskole 6. årgang;79000000;XG-0000002369-00020;null;null
5386888 015687;null;null;null;Indeholder;null;null;null;DK5386888 015687 - Hyttetur 7. årgang Assentoftskolen;79000000;XG-0000002369-00021;null;null
5386888 015689;null;null;null;Indeholder;null;null;null;DK5386888 015689 - Lejrskole 9. årgang Assentoftskolen;79000000;XG-0000002369-00020;null;null
5386888 017737;null;null;null;Indeholder;null;null;null;DK5386888 017737 Assentoft - egenbetaling;79000000;XG-0000002369-00022;null;null
